id_estudiante,nombre,edad,correo,motivo_rechazo
E1005,Carlos Pérez,26.0,,correo_vacio
E1018,Sofía Flores,,adriana.hernandez37@empresa.com,edad_vacia
E1027,Andrea Rivas,,paola.vasquez16@correo.sv,edad_vacia
E1040,Elena Flores,,valeria.martinez27@correo.sv,edad_vacia
E1050,Ricardo Martínez,,carlos.romero18@correo.sv,edad_vacia
E1060,Natalia Santos,18.0,,correo_vacio
E1064,Diego Mendoza,,diego.flores10@outlook.com,edad_vacia
E1073,Daniela Cruz,,daniela.santos62@correo.sv,edad_vacia
E1075,Paola López,25.0,,correo_vacio
E1076,Adriana Gómez,,mario.cruz32@correo.sv,edad_vacia
E1077,Adriana Santos,,jorge.mejia86@correo.sv,edad_vacia
E1088,Daniela Flores,,marta.perez48@correo.sv,edad_vacia
E1091,Paola Reyes,21.0,,correo_vacio
E1097,Ricardo Martínez,23.0,,correo_vacio
E1098,Ricardo Pérez,,kevin.santos17@empresa.com,edad_vacia
E1101,Óscar Hernández,18.0,,correo_vacio
E1108,Valeria Flores,,daniela.mejia80@outlook.com,edad_vacia
E1113,Fernando Reyes,,raul.flores34@gmail.com,edad_vacia
E1116,Carlos Morales,,kevin.mejia61@empresa.com,edad_vacia
E1119,Jorge Vásquez,,andrea.castro81@outlook.com,edad_vacia
E1123,Mario Martínez,,daniela.perez37@correo.sv,edad_vacia
E1139,Luis Rivas,,maria.rivas66@gmail.com,edad_vacia
E1146,Lucía Cruz,29.0,,correo_vacio
E1147,Ricardo Hernández,27.0,,correo_vacio
E1150,Raúl Santos,,andres.castro54@correo.sv,edad_vacia
E1163,Sofía Flores,,patricia.gomez57@gmail.com,edad_vacia
E1168,Luis Martínez,30.0,,correo_vacio
E1173,Patricia Torres,,pedro.martinez38@empresa.com,edad_vacia
E1176,Diego Gómez,,jose.torres11@correo.sv,edad_vacia
E1179,Daniela Martínez,30.0,,correo_vacio
